Name Of Scale,Alternative Scale Names,Ascending Note Positions in Scale,Binary 12notes 1&0,Number Of Notes In Scale,DissonanceIndex,Note Names from C,L and s Interval Sequence,ScaleCoding,Major Triads,Minor Triads,Aug. Triads,Dim. Triads
Theoretical - No Known Name,,1 2b 3b 4b 5b 7bb .,110110100100,6,4,C Db Eb Fb Gb Bbb .,(s) (L) (s) (L) (L+s) (2L-s),9-3689-10 .,Bbb,Gbm,Bbb+,Cdim Ebdim
Theoretical - No Known Name,,1 2b 3b 4b 5b 5 7b 8b .,110110110011,8,4,C Db Eb Fb Gb G Bb Cb .,(s) (L) (s) (L) (L-s) (L+s) (s) (L-s),9-58-9 .,Eb Gb Cb,Cm Ebm,Cb+,Cdim Gdim Bbdim
Theoretical - No Known Name,,1 2b 3b 4b 4 8b .,110111000001,6,4,C Db Eb Fb F Cb .,(s) (L) (s) (L-s) (2L+2s) (L-s),8-357-9 .,,,,
All except D -2,,1 2b 3b 4b 4 5b 5 6b 7bb 7b 8b .,110111111111,11,4,C Db Eb Fb F Gb G Ab Bbb Bb Cb .,(s) (L) (s) (L-s) (s) (L-s) (s) (s) (L-s) (s) (L-s),10-0-10 .,Db Eb Fb Gb Ab Bbb Cb,Cm Dbm Ebm Fm Gbm Abm Bbm,Fb+ Bbb+ Cb+,Cdim Ebdim Fdim Gdim Bbdim
Theoretical - No Known Name,,1 1# 2 7 .,111000000001,4,4,C C# D B .,(L-s) (s) (4L+s) (s),7-2457-1 .,,,,
Theoretical - No Known Name,,1 1# 2 6 7b .,111000000110,5,4,C Db D A Bb .,(s) (L-s) (3L+s) (s) (L),8-2357-6 .,,,,
Theoretical - No Known Name,,1 1# 2 5 7b .,111000010010,5,4,C C# D G Bb .,(L-s) (s) (2L+s) (L+s) (L),9-26789-3 .,,Gm,,
Theoretical - No Known Name,,1 1# 2 4# 6 7b .,111000100110,6,4,C C# D F# A Bb .,(L-s) (s) (2L) (L+s) (s) (L),9-2478-3 .,D,F#m,Bb+,F#dim
Theoretical - No Known Name,,1 1# 2 4# 6 7b 7 .,111000100111,7,4,C C# D F# A Bb B .,(L-s) (s) (2L) (L+s) (s) (L-s) (s),9-247-3 .,D,F#m Bm,Bb+,F#dim
Theoretical - No Known Name,,1 1# 2 4# 5 7b .,111000110010,6,4,C C# D F# G Bb .,(L-s) (s) (2L) (s) (L+s) (L),9-2678-3 .,,Gm,Bb+,
Theoretical - No Known Name,,1 1# 2 4 4# 5# 6 7 .,111001101101,8,4,C C# D F F# G# A B .,(L-s) (s) (L+s) (L-s) (L) (s) (L) (s),9-36-2 .,D F,Dm F#m Bm,F+,F#dim G#dim Bdim
Theoretical - No Known Name,,1 1# 2 3 5 5# .,111010011000,6,4,C C# D E G G# .,(L-s) (s) (L) (L+s) (L-s) (L+2s),8-467-1 .,C,C#m,C+,C#dim
Theoretical - No Known Name,,1 1# 2 3 4# 7b 7 .,111010100011,7,4,C C# D E F# Bb B .,(L-s) (s) (L) (L) (L+2s) (L-s) (s),9-246-3 .,,Bm,Bb+,
Theoretical - No Known Name,,1 1# 2 3 4 .,111011000000,5,4,C C# D E F .,(L-s) (s) (L) (s) (3L+s),8-3578-2 .,,,,
Theoretical - No Known Name,,1 1# 2 3 4 5 5# 7 .,111011011001,8,4,C C# D E F G G# B .,(L-s) (s) (L) (s) (L) (L-s) (L+s) (s),9-58-2 .,C E G,C#m Em,C+,C#dim G#dim Bdim
Theoretical - No Known Name,,1 1# 2 3 4 4# .,111011100000,6,4,C C# D E F F# .,(L-s) (s) (L) (s) (L-s) (2L+2s),8-357-2 .,,,,
Theoretical - No Known Name,,1 2b 2 3b 4 5 7 .,111101010001,7,4,C Db D Eb F G B .,(s) (L-s) (s) (L) (L) (2L) (s),10-24910-6 .,G,Cm,Eb+,Bdim
Theoretical - No Known Name,,1 1# 2 3b 4 5 6 7b 7 .,111101010111,9,4,C C# D Eb F G A Bb B .,(L-s) (s) (s) (L) (L) (L) (s) (L-s) (s),10-810-4 .,Eb F G Bb,Cm Dm Gm,Eb+ F+,Adim Bdim
Theoretical - No Known Name,,1 2b 2 3b 4 5b 6b 7bb .,111101101100,8,4,C Db D Eb F Gb Ab A .,(s) (L-s) (s) (L) (s) (L) (L-s) (L+s),9-58-7 .,Db Ab,Fm Gbm,Bbb+,Cdim Ddim Ebdim
All except E - 3,,1 2b 2 3b 4 5b 5 6b 6 7b 8b .,111101111111,11,4,C Db D Eb F Gb G Ab A Bb Cb .,(s) (L-s) (s) (L) (s) (L-s) (s) (L-s) (s) (s) (L-s),10-0-8 .,Db Eb F Gb Ab Bb Cb,Cm Dm Ebm Fm Gm Abm Bbm,Db+ Gb+ Cb+,Cdim Ddim Fdim Gdim Adim
Theoretical - No Known Name,,1 1# 2 2# 3 5# 7 .,111110001001,7,4,C C# D D# E G# B .,(L-s) (s) (L-s) (s) (2L) (L+s) (s),9-247-1 .,E,C#m G#m,C+,G#dim
Theoretical - No Known Name,,1 1# 2 2# 3 5 7 .,111110010001,7,4,C C# D D# E G B .,(L-s) (s) (L-s) (s) (L+s) (2L) (s),9-479-1 .,C G,Em,G+,C#dim
Theoretical - No Known Name,,1 2b 2 3b 4b 5b 6b 7b 8b .,111110101011,9,4,C Db D Eb Fb Gb Ab Bb Cb .,(s) (L-s) (s) (s) (L) (L) (L) (s) (L-s),10-810-9 .,Fb Gb Ab Cb,Dbm Ebm Abm,Fb+ Gb+ Cb+,Cdim Bbdim
All except F - 4,,1 1# 2 2# 3 4# 5 5# 6 6# 7 .,111110111111,11,4,C C# D D# E F# G G# A A# B .,(L-s) (s) (L-s) (s) (L) (s) (L-s) (s) (L-s) (s) (s),10-0-1 .,C D E F# G A B,C#m D#m Em F#m G#m Am Bm,C+ D+ G+,C#dim D#dim F#dim G#dim A#dim
Theoretical - No Known Name,,1 1# 2 2# 3 4 5 6 7 .,111111010101,9,4,C C# D D# E F G A B .,(L-s) (s) (L-s) (s) (s) (L) (L) (L) (s),10-810-2 .,C F G A,Dm Em Am,F+ G+,C#dim Bdim
All except F# - 4#,,1 2b 2 3b 3 4 5 6b 6 7b 7 .,111111011111,11,4,C Db D Eb E F G Ab A Bb B .,(s) (L-s) (s) (L-s) (s) (L) (s) (L-s) (s) (L-s) (s),10-0-6 .,C Db Eb F G Ab Bb,Cm Dm Em Fm Gm Am Bbm,Db+ Eb+ Ab+,Ddim Edim Gdim Adim Bdim
Theoretical - No Known Name,,1 1# 2 2# 3 4 4# 6 7 .,111111100101,9,4,C C# D D# E F F# A B .,(L-s) (s) (L-s) (s) (s) (L-s) (L+s) (L) (s),10-310-2 .,D F A B,Dm F#m Am Bm,F+,D#dim F#dim Bdim
All except Bb - 7b all sharp,,1 1# 2 2# 3 4 4# 5 5# 6 7 .,111111111101,11,4,C C# D D# E F F# G G# A B .,(L-s) (s) (L-s) (s) (s) (L-s) (s) (L-s) (s) (L) (s),10-0-2 .,C D E F G A B,C#m Dm Em F#m G#m Am Bm,C+ F+ G+,C#dim D#dim F#dim G#dim Bdim
Theoretical - No Known Name,,1 2 4 5b 6b .,101001101000,5,4,C D F Gb Ab .,(L) (L+s) (s) (L) (2L),8-2458-7 .,,Fm,,Ddim
Theoretical - No Known Name,,1 2 4 5b 6b 7b 8b .,101001101011,7,4,C D F Gb Ab Bb Cb .,(L) (L+s) (s) (L) (L) (s) (L-s),9-359-8 .,Bb,Fm,Gb+,Ddim Fdim
Theoretical - No Known Name,,1 2 3 4# 7b .,101010100010,5,4,C D E F# Bb .,(L) (L) L) (L+2s) (L),8-2468-3 .,,,Bb+,
"Raga Ranjani, Rangini (India)",,1 2 3b 4# 6 7 .,101100100101,6,4,C D Eb F# A B .,(L) (s) (2L-s) (L+s) (L) (s),9-2358-4 .,D,Bm,,Adim
Super Locrian all sharps,,1 1# 2# 3 4# 5# 6# .,110110101010,7,4,C C# D# E F# G# A# .,(L-s) (L) (s) (L) (L) (L) (2s),10-2346-1 .,F#,C#m D#m,C+,A#dim
Theoretical - No Known Name,,1 2b 7b 8b .,110000000011,4,4,C Db Bb Cb .,(s) (4L+s) (s) (L-s),7-2457-7 .,,,,
Spanish Pentacluster,,1 2b 3b 4b 4 .,110111000000,5,4,C Db Eb Fb F .,(s) (L) (s) (L-s) (3L+s),8-2357-9 .,,,,
Theoretical - No Known Name,,1 2b 3b 3 4 6 .,110111000100,6,4,C Db Eb E F A .,(s) (L) (L-s) (s) (2L) (L+s),9-2478-6 .,F,Am,Db+,Adim
Maqam Shadd'araban (6b s),,1 2b 3b 4b 4 5b 7bb 7b .,110111100110,8,4,C Db Eb Fb F Gb Bbb Bb .,(s) (L) (s) (L-s) (s) (L+s) (L-s) (L),9-36-10 .,Gb Bbb,Ebm Gbm Bbm,Bbb+,Cdim Ebdim Bbdim
Chromatic TetraMirror,,1 2b 2 3b .,111100000000,4,4,C Db D Eb .,(s) (L-s) (s) (4L+s),7-2457-6 .,,,,
Raga Devaranjani (India),(Devaranji,1 4 5 6b 8b .,100001011001,5,4,C F G Ab Cb .,(2L+s) (L) (s) (L+s) (L-s),8-2356-8 .,,Fm,,Fdim
All except Eb - 3b,,1 1# 2 3 4 4# 5 5# 6 7b 7 .,111011111111,11,4,C C# D E F F# G G# A Bb B .,(L-s) (s) (L) (s) (L-s) (s) (L-s) (s) (s) (L-s) (s),10-0-3 .,C D E F G A Bb,C#m Dm Em F#m Gm Am Bm,C+ F+ Bb+,C#dim Edim F#dim G#dim Bdim
All except G# - 5#,,1 1# 2 3b 3 4 4# 5 6 7b 7 .,111111110111,11,4,C C# D Eb E F F# G A Bb B .,(L-s) (s) (s) (L-s) (s) (L-s) (s) (L) (s) (L-s) (s),10-0-4 .,C D Eb F G A Bb,Cm Dm Em F#m Gm Am Bm,Eb+ F+ Bb+,C#dim Edim F#dim Adim Bdim
All except C# - 1#,,1 2 3b 3 4 4# 5 6b 6 7b 7 .,101111111111,11,4,C D Eb E F F# G Ab A Bb B .,(L) (s) (L-s) (s) (L-s) (s) (s) (L-s) (s) (L-s) (s),10-0-5 .,C D Eb F G Ab Bb,Cm Dm Em Fm Gm Am Bm,Eb+ Ab+ Bb+,Ddim Edim Adim Bdim
All except A - 6th  all flat,,1 2b 2 3b 4b 4 5b 5 6b 7b 8b .,111111111011,11,4,C Db D Eb Fb F Gb G Ab Bb Cb                             .,(s) (L-s) (s) (s) (L-s) (s) (L-s) (s) (L) (s) (L-s),10-0-9 .,Db Eb Fb Gb Ab Bb Cb,Cm Dbm Ebm Fm Gm Abm Bbm,Fb+ Gb+ Cb+,Cdim Ddim Fdim Gdim Bbdim
All except B - 7 all flat,,1 2b 2 3b 3 4 5b 5 6b 6 7b .,111111111110,11,4,C Db D Eb E F Gb G Ab A Bb .,(s) (L-s) (s) (L-s) (s) (s) (L-s) (s) (L-s) (s) (L),10-0-7 .,C Db Eb F Gb Ab Bb,Cm Dm Ebm Fm Gm Am Bbm,Db+ Gb+ Ab+,Cdim Ddim Edim Gdim Adim
Theoretical - No Known Name,,1 2b 2 3b 4 5 8b .,111101010001,7,4,C Db D Eb F G Cb .,(s) (L-s) (s) (L) (L) (L+2s) (L-s),9-246-8 .,,Cm,Cb+,
Theoretical - No Known Name 4# s,,1 1# 2 2# 3 4# 6 6# 7 .,111110100111,9,4,C C# D D# E F# A A# B .,(L-s) (s) (L-s) (s) (L) (L+s) (L-s) (s) (s),10-29-1 .,D F# A B,D#m F#m Am Bm,D+,D#dim F#dim A#dim
Hindi 5 flats,Super Locrian 5 flats,1 2b 3b 3 5b 6b 7b .,110110101010,7,4,C Db Eb E Gb Ab Bb .,(s) (L) (L-s) (2s) (L) (L) (L),10-689-7 .,Gb Ab,Ebm,Ab+,Cdim
All 12 notes except D -2 - 8 flats only naturals are C & F,,1 2b 3bb 3b 4b 4 5b 6b 7bb 7b 8b .,110111111111,11,4,C Db Ebb Eb Fb F Gb Ab Bbb Bb Cb .,(s) (s) (L-s) (s) (L-s) (s) (L) (s) (L-s) (s) (L-s),10-0-11 .,Db Ebb Fb Gb Ab Bbb Cb,Dbm Ebm Fm Gbm Abm Bbm,Ebb+ Fb+ Bbb+ Cb+,Cdim Ebdim Fdim Abdim Bbdim
Maqam Shawq Afza,Pan Lydian,1 2 2# 3 4 4# 5 5# 6 7 .,101111111101,10,4.0222,C D D# E F F# G G# A B .,(L) (L-s) (s) (s) (L-s) (s) (L-s) (s) (L) (s),10-9-2 .,C D E F G B,Dm Em G#m Am Bm,C+ G+,D#dim G#dim Bdim
Theoretical - No Known Name,,1 2b 3b 4b 5b 5 6b 7bb 7b 8b .,110110111111,10,4.0222,C Db Eb Fb Gb G Ab Bbb Bb Cb .,(s) (L) (s) (L) (L-s) (s) (s) (L-s) (s) (L-s),10-9-10 .,Eb Fb Gb Ab Bbb Cb,Cm Dbm Ebm Gbm Abm,Fb+ Bbb+ Cb+,Cdim Ebdim Gdim Bbdim
Maqam Tarzanuyn,,1 2b 3b 4b 4 5b 5 6b 7bb 7b .,110111111110,10,4.0222,C Db Eb Fb F Gb G Ab Bbb Bb .,(s) (L) (s) (L-s) (s) (L-s) (s) (s) (L-s) (L),10-3-10 .,Db Eb Gb Ab Bbb,Cm Dbm Ebm Fm Gbm Bbm,Fb+ Bbb+,Cdim Ebdim Gdim Bbdim
Theoretical - No Known Name,,1 1# 2 3 4 5 5# 6 7b 7 .,111011011111,10,4.0222,C C# D E F G G# A Bb B .,(L-s) (s) (L) (s) (L) (L-s) (s) (s) (L-s) (s),10-9-3 .,C E F G A Bb,C#m Dm Em Gm Am,C+ F+,C#dim Edim G#dim Bdim
Theoretical - No Known Name,,1 2b 2 3b 4 5b 6b 6 7b 8b .,111101101111,10,4.0222,C Db D Eb F Gb Ab A Bb Cb .,(s) (L-s) (s) (L) (s) (L) (L-s) (s) (L-s),10-9-8 .,Db F Gb Ab Bb Cb,Dm Ebm Fm Abm Bbm,Db+ Gb+ Cb+,Cdim Ddim Fdim Adim
Theoretical - No Known Name,,1 1# 2 2# 3 4 4# 5# 6 7 .,111111101101,10,4.0222,C C# D D# E F F# G# A B .,(L-s) (s) (L-s) (s) (s) (L-s) (L) (s) (L) (s),10-3-2 .,D E F A B,C#m Dm F#m G#m Am Bm,C+ F+,D#dim F#dim G#dim Bdim
Algerian,Sabiren,1 2 3b 4 4# 5 6b 7 .,101101111001,8,4.0357,C D Eb F F# G Ab B .,(L) (s) (L) (L-s) (s) (s) (2L-s) (s),10-389-5 .,G Ab,Cm Fm Bm,Eb+,Ddim Bdim
Theoretical - No Known Name,,1 3b 3 4 4# 5 6b 7b .,100111111010,8,4.0357,C Eb E F F# G Ab Bb .,(L+s) (L-s) (s) (L-s) (s) (s) (L) (L),10-7810-5 .,C Eb Ab,Cm Fm,Ab+,Edim
Theoretical - No Known Name,,1 2 3 5 5# 6 6# 7 .,101010011111,8,4.0357,C D E G G# A A# B .,(L) (L) (L+s) (L-s) (s) (L-s) (s) (s),10-7810-1 .,C E G,Em Am,C+,G#dim
Theoretical - No Known Name,,1 2 3 4 5# 6 7b 7 .,101011001111,8,4.0357,C D E F G# A Bb B .,(L) (L) (s) (2L-s) (s) (s) (L-s) (s),10-4910-3 .,E F Bb,Dm Am,C+,G#dim Bdim
Theoretical - No Known Name,,1 2 3b 3 4 5b 5 6b .,101111111000,8,4.0357,C D Eb E F Gb G Ab .,(L) (s) (L-s) (s) (s) (L-s) (s) (2L),10-2510-7 .,C Ab,Cm Fm,Ab+,Cdim Ddim
Theoretical - No Known Name,,1 2b 3b 4b 5b 5 6b 7bb .,110110111100,8,4.0357,C Db Eb Fb Gb G Ab Bbb .,(s) (L) (s) (L) (L-s) (s) (s) (2L-s),10-389-10 .,Ab Bbb,Cm Dbm Gbm,Fb+ Bbb+,Cdim Ebdim
Theoretical - No Known Name,,1 1# 2 3  5# 6 6# 7 .,111010001111,8,4.0357,C C# D E G# A A# B .,(L-s) (s) (L) (2L) (s) (L-s) (s) (s),10-2710-1 .,E A,C#m Am,C+,G#dim A#dim
Theoretical - No Known Name,,1 1# 2 3 4# 5 6# 7 .,111010110011,8,4.0357,C C# D E F# G A# B .,(L-s) (s) (L) (L) (s) (2L-s) (s) (s),10-4910-1 .,C F# G,Em Bm,D+,C#dim A#dim
Theoretical - No Known Name,,1 2b 2 3b 5 6 7b 7 .,111100010111,8,4.0357,C Db D Eb G A Bb B .,(s) (L-s) (s) (2L) (L) (s) (L-s) (s),10-2510-6 .,Eb G,Cm Gm,Eb+,Gdim Adim
Theoretical - No Known Name,,1 2b 2 3b 4b 5b 6b 8b .,111110101001,8,4.0357,C Db D Eb Fb Gb Ab Cb .,(s) (L-s) (s) (s) (L) (L) (L+s) (L-s),10-7810-9 .,Fb Ab Cb,Dbm Abm,Fb+ Cb+,Cdim
Theoretical - No Known Name,,1 1# 2 2# 3 4 5 6 .,111111010100,8,4.0357,C C# D D# E F G A .,(L-s) (s) (L-s) (s) (s) (L) (L) (L+s),10-7810-2 .,C F A,Dm Am,F+,C#dim
Theoretical - No Known Name,,1 1# 2 4# 5# 6 6# 7 .,111000101111,8,4.0357,C C# D F# G# A A# B .,(L-s) (s) (2L) (L) (s) (L-s) (s) (s),10-2510-1 .,D F#,F#m Bm,D+,F#dim G#dim
Theoretical - No Known Name,,1 2 3b 3 5 7b 7 .,101110010011,7,4.0476,C D Eb E G Bb B .,(L) (s) (L-s) (L+s) (L+s) (L-s) (s),8-37-4 .,C Eb G,Cm Em Gm,Eb+,Edim
Theoretical - No Known Name,,1 1# 3 5# 6 6# 7 .,110010001111,7,4.0476,C C# E G# A A# B .,(L-s) (L+s) (2L) (s) (L-s) (s) (s),10-23710-1 .,E A,C#m Am,C+,A#dim
Theoretical - No Known Name,,1 1# 3 5 5# 6 7 .,110010011101,7,4.0476,C C# E G G# A B .,(L-s) (L+s) (L+s) (L-s) (s) (L) (s),8-37-1 .,C E A,C#m Em Am,C+,C#dim
Theoretical - No Known Name,,1 2b 3b 4b 4 6b 8b .,110111001001,7,4.0476,C Db Eb Fb F Ab Cb .,(s) (L) (s) (L-s) (L+s) (L+s) (L-s),8-37-9 .,Db Fb Ab,Dbm Fm Abm,Fb+,Fdim
Theoretical - No Known Name,,1 2b 2 4 6 7b 7 .,111001000111,7,4.0476,C Db D F A Bb B .,(s) (L-s) (L+s) (2L) (s) (L-s) (s),10-23710-6 .,F Bb,Dm Bbm,Db+,Bdim
Theoretical - No Known Name,,1 1# 2 3 4 4# 6 .,111011100100,7,4.0476,C C# D E F F# A .,(L-s) (s) (L) (s) (L-s) (L+s) (L+s),8-37-2 .,D F A,Dm F#m Am,F+,F#dim
Theoretical - No Known Name,,1 2b 2 3b 5 7b 7 .,111100010011,7,4.0476,C Db D Eb G Bb B .,(s) (L-s) (s) (2L) (L+s) (L-s) (s),10-25910-6 .,Eb G,Cm Gm,Eb+,Gdim
Theoretical - No Known Name,,1 2b 2 4 6b 6 7b .,111001001110,7,4.0476,C Db D F Ab A Bb .,(s) (L-s) (L+s) (L+s) (L-s) (s) (L),8-37-6 .,Db F Bb,Dm Fm Bbm,Db+,Ddim
Theoretical - No Known Name,,1 3b 3 4 4# 5 6b 6 7b .,100111111110,9,4.0556,C Eb E F F# G Ab A Bb .,(L+s) (L-s) (s) (L-s) (s) (s) (L-s) (s) (L),10-710-5 .,C Eb F Ab,Cm Fm Am,Ab+,Edim Adim
Theoretical - No Known Name,,1 2 3b 3 4 5b 5 6b 6 .,101111111100,9,4.0556,C D Eb E F Gb G Ab A .,(L) (s) (L-s) (s) (s) (L-s) (s) (L-s) (L+s),10-25-7 .,C F Ab,Cm Dm Fm Am,Ab+,Cdim Ddim Adim
Theoretical - No Known Name,,1 1# 2 3 5 5# 6 6# 7 .,111010011111,9,4.0556,C C# D E G G# A A# B .,(L-s) (s) (L) (L+s) (L-s) (s) (L-s) (s) (s),10-710-1 .,C E G A,C#m Em Am,C+,C#dim G#dim A#dim
Theoretical - No Known Name,,1 2b 2 3b 4 6b 6 7b 7 .,111101001111,9,4.0556,C Db D Eb F Ab A Bb B .,(s) (L-s) (s) (L) (L+s) (L-s) (s) (L-s) (s),10-710-6 .,Db F Ab Bb,Dm Fm Bbm,Db+,Ddim Adim Bdim
Theoretical - No Known Name,,1 1# 2 2# 3 4 4# 5 6 .,111111110100,9,4.0556,C C# D D# E F F# G A .,(L-s) (s) (L-s) (s) (s) (L-s) (s) (L) (L+s),10-69-2 .,C D F A,Dm F#m Am,F+,C#dim D#dim F#dim
Raga Paraju  Simhavahini India,"Paraz, Pharas), Ramamanohari,  Sindhu Ramakriya, Kamalamanohari",1 3 4 5 6b 7 .,100011011001,6,4.0667,C E F G Ab B .,(2L) (s) (L) (s) (2L-s) (s),9-2378-5 .,C,Em Fm,Ab+,
Raga Rasamanjari (India),,1 2# 3 4# 5 7 .,100110110001,6,4.0667,C D# E F# G B .,(2L-s) (s) (L) (s) (2L) (s),9-3489-1 .,C B,Em,G+,
Raga Vijayanagari,,1 2 2# 4# 5 6 .,101100110100,6,4.0667,C D D# F# G A .,(L) (L-s) (L+s) (s) (L) (L+s),9-5689-1 .,D,,,D#dim
Raga Rudra Pancama (India),,1 2b 3 4 6 7b .,110011000110,6,4.0667,C Db E F A Bb .,(s) (2L-s) (s) (2L) (s) (L),9-2378-6 .,F,Am Bbm,Db+,
Raga Malahari (India),"Purna Pancama,  Geyahejjajji, Kannadabangala",1 2b 3 4 5 6b .,110011011000,6,4.0667,C Db E F G Ab .,(s)(2L-s) (s) (L) (s) (2L),9-3489-6 .,C Db,Fm,Ab+,
Theoretical - No Known Name,,1 4 6b 6 7 7b .,100001001111,6,4.0667,C F Ab A Bb B .,(2L+s) (L+s) (L-s) (s) (L-s) (s),9-2679-5 .,F,Fm,,
Theoretical - No Known Name,,1 4 4# 6 7b 7 .,100001100111,6,4.0667,C F F# A Bb B .,(2L+s) (L-s) (L+s) (s) (L-s) (s),8-457-3 .,F,,,
Theoretical - No Known Name,,1 3b 4 4# 6 7b .,100101100110,6,4.0667,C Eb F F# A Bb .,(L+s) (L) (L-s) (L+s) (s) (L),9-5689-4 .,F,,,Adim
Theoretical - No Known Name,,1 3b 3 6 7b 7 .,100110000111,6,4.0667,C Eb E A Bb B .,(L+s) (L-s) (2L+s) (s) (L-s) (s),8-3569-4 .,,Am,,Adim
Theoretical - No Known Name,,1 3b 3 4 4# 5 .,100111110000,6,4.0667,C Eb E F F# G .,(L+s) (L-s) (s) (L-s) (s) (2L+s),9-2679-4 .,C,Cm,,
Theoretical - No Known Name,,1 2 3b 5 6b 7 .,101100011001,6,4.0667,C D Eb G Ab B .,(L) (s) (2L) (s) (2L-s) (s),9-3489-5 .,G Ab,Cm,Eb+,
Theoretical - No Known Name,,1 2b 5b 5 7b 8b .,110000110011,6,4.0667,C Db Gb G Bb Cb .,(s) (2L+s) (L-s) (L+s) (s) (L-s),8-457-8 .,Gb,,,Gdim
Theoretical - No Known Name,,1 1# 3 6 7b 7 .,110010000111,6,4.0667,C C# E A Bb B .,(L-s) (L+s) (2L+s) (s) (L-s) (s),9-2459-3 .,A,Am,,
Theoretical - No Known Name,,1 1# 3 4 5 6# .,110011010010,6,4.0667,C C# E F G Bb .,(L-s) (L+s) (s) (L) (L+s) (L),9-5689-3 .,C,,,C#dim A#dim
Theoretical - No Known Name,,1 1# 3 4 4# 5 .,110011110000,6,4.0667,C C# E F F# G .,(L-s) (L+s) (s) (L-s) (s) (2L+s),8-457-2 .,C,,,C#dim
Theoretical - No Known Name,,1 1# 2# 4# 5# 6 .,110100101100,6,4.0667,C C# D# F# G# A .,(L-s) (L) (L+s) (L) (s) (L+s),9-2356-1 .,,F#m,,D#dim F#dim
Theoretical - No Known Name,,1 2b 3b 4b 6b 7bb .,110110001100,6,4.0667,C Db Eb Fb Ab Bbb .,(s) (L) (s) (2L) (s) (2L-s),9-3489-10 .,Ab Bbb,Dbm,Fb+ Bbb+,
Theoretical - No Known Name,,1 1# 2 5 7b 7 .,111000010011,6,4.0667,C C# D G Bb B .,(L-s) (s) (2L+s) (L+s) (L-s) (s),9-2679-3 .,G,Gm,,
Theoretical - No Known Name,,1 1# 2 4 4# 7 .,111001100001,6,4.0667,C C# D F F# B .,(L-s) (s) (L+s) (L-s) (2L+s) (s),8-356-2 .,,Bm,,Bdim
Theoretical - No Known Name,,1 2b 2 3b 6b 6 .,111100001100,6,4.0667,C Db D Eb Ab A .,(s) (L-s) (s) (2L+s) (L-s) (L+s),8-457-6 .,Ab,,,Adim
Theoretical - No Known Name,,1 1# 2 2# 4# 7 .,111100100001,6,4.0667,C C# D D# F# B .,(L-s) (s) (L-s) (L+s) (2L+s) (s),9-2459-1 .,B,Bm,,
Theoretical - No Known Name,,1 1# 2 2# 3 6 .,111110000100,6,4.0667,C C# D D# E A .,(L-s) (s) (L-s) (s) (2L+s) (L+s),9-2679-1 .,A,Am,,
Theoretical - No Known Name,,1 2b 2 3b 6b 8b .,111100001001,6,4.0667,C Db D Eb Ab Cb .,(s) (L-s) (s) (2L+s) (L+s) (L-s),9-2679-8 .,Ab,Abm,,
Theoretical - No Known Name,,1 3b 4 5b 5 6b 7b 7 .,100101111011,8,4.0714,C Eb F Gb G Ab Bb B .,(L+s) (L) (s) (L-s) (s) (L) (L-s) (s),11-291011-7 .,Eb Ab,Cm Ebm Fm,Eb+,Cdim
Theoretical - No Known Name,,1 3b 3 5 6b 6 7b 7 .,100110011111,8,4.0714,C Eb E G Ab A Bb B .,(L+s) (L-s) (L+s) (s) (L-s) (s) (L-s) (s),9-47-5 .,C Eb Ab,Cm Em Am,Eb+ Ab+,Edim Adim
Theoretical - No Known Name,,1 3b 3 4 4# 5 7b 7 .,100111110011,8,4.0714,C Eb E F F# G Bb B .,(L+s) (L-s) (s) (L-s) (s) (L+s) (L-s) (s),9-67-4 .,C Eb,Cm Em,Eb+,Edim
Theoretical - No Known Name,,1 1# 3 4 4# 5 5# 5 .,110011111100,8,4.0714,C C# E F F# G G# A .,(L-s) (L+s) (s) (L-s) (s) (L-s) (s) (L+s),9-47-2 .,C,C#m,C+,C#dim
Theoretical - No Known Name,,1 1# 2 4 4# 6 7b 7 .,111001100111,8,4.0714,C C# D F F# A Bb B .,(L-s) (s) (L+s) (L-s) (L+s) (s) (L-s) (s),9-47-3 .,D F Bb,Dm F#m Bm,F+ Bb+,F#dim Bdim
Theoretical - No Known Name,,1 1# 2 4 4# 5 7b 7 .,111001110011,8,4.0714,C C# D F F# G Bb B .,(L-s) (s) (L+s) (L-s) (s) (L+s) (L-s) (s),9-67-3 .,G Bb,Gm Bm,Bb+,Bdim
Theoretical - No Known Name,,1 1# 2 4 4# 5 5# 6 .,111001111100,8,4.0714,C C# D F F# G G# A .,(L-s) (s) (L+s) (L-s) (s) (L-s) (s) (L+s),9-67-2 .,D F,Dm F#m,F+,F#dim
Theoretical - No Known Name,,1 1# 2 3 4# 5# 6 6# .,111010101110,8,4.0714,C C# D E F# G# A A# .,(L-s) (s) (L) (L) (L) (s) (L-s) (2s),10-2610-1 .,D F# A,C#m F#m Am,C+ D+,F#dim A#dim
Theoretical - No Known Name,,1 2b 2 3b 5 6b 7b 7 .,111100011011,8,4.0714,C Db D Eb G Ab Bb B .,(s) (L-s) (s) (2L) (s) (L) (L-s) (s),10-5910-6 .,Eb G Ab,Cm Gm,Eb+,Gdim
Theoretical - No Known Name,,1 1# 2 2# 3 5 5# 7 .,111110011001,8,4.0714,C C# D D# E G G# B .,(L-s) (s) (L-s) (s) (L+s) (L-s) (L+s) (s),9-47-1 .,C E G,C#m Em G#m,C+ G+,C#dim G#dim
