Name Of Scale,Alternative Scale Names,Ascending Note Positions in Scale,Binary 12notes 1&0,Number Of Notes In Scale,DissonanceIndex,Note Names from C,L and s Interval Sequence,ScaleCoding,Major Triads,Minor Triads,Aug. Triads,Dim. Triads
Theoretical - No Known Name,,1 2b 3b 5 .,110100010000,4,3.5,C Db Eb G .,(s) (L) (2L) (2L+s),6-245-6 .,,Cm,,
Theoretical - No Known Name,,1 4 5b 6b .,100001101000,4,3.5,C F Gb Ab .,(2L+s) (s) (L) (2L),6-245-7 .,,Fm,,
Theoretical - No Known Name,,1 4 6 7  .,100001000101,4,3.5,C F A B .,(2L+s) (2L) (L) (s),6-346-2 .,F,,,
Theoretical - No Known Name,Chord Csus#4,1 3 4# 5 .,100010110000,4,3.5,C E F# G .,(2L) (L) (s) (2L+s),6-346-1 .,C,,,
C minor add b5 chord,Chord of Cm b5,1 3b 5b 5 .,100100110000,4,3.5,C Eb Gb G .,(L+s) (L+s) (L-s) (2L+s),7-2356-7 .,,Cm,,Cdim
Theoretical - No Known Name,,1 3b 3 6 .,100110000100,4,3.5,C Eb E A .,(L+s) (L-s) (2L+s) (L+s),7-2356-4 .,,Am,,Adim
Theoretical - No Known Name,,1 2 3b 6b .,101100001000,4,3.5,C D Eb Ab .,(L) (s) (2L+s) (2L),6-346-5 .,Ab,,,
Theoretical - No Known Name,,1 2b 5b 7b .,110000100010,4,3.5,C Db Gb Bb .,(s) (2L+s) (2L) (L),6-346-7 .,Gb,,,
Theoretical - No Known Name,,1 1# 4# 6 .,110000100100,4,3.5,C C# F# A .,(L-s) (2L+s) (L+s) (L+s),7-2356-1 .,,F#m,,F#dim
Blues Modified,,1 2 3b 4 4# 5 7b .,101101110010,7,3.5238,C D Eb F F# G Bb .,(L) (s) (L) (L-s) (s) (L+s) (L),9-789-4 .,Eb Bb,Cm Gm,Bb+,
Major Bebop Heptatonic Mela Mararanjani (India),Raga Keseri,1 2 3 4 5 5# 6 .,101011011100,7,3.5238,C D E F G G# A .,(L) (L) (s) (L) (L-s) (s) (L+s),9-789-2 .,C F,Dm Am,C+,
Neapolitan Minor Mode (as 10/48910/11 in 12edo),,1 1# 2 3 4# 5# 6 .,111010101100,7,3.5238,C C# D E F# G# A .,(L-s) (s) (L) (L) (L) (s) (L+s),8-26-1 .,D A,C#m F#m Am,C+,F#dim
Mela Senavati (India),"Raga Senagrani, Malini",1 2b 3b 4 5 6b 6 .,110101011100,7,3.5238,C Db Eb F G Ab A .,(s) (L) (L) (L) (s) (L-s) (L+s),8-48-6 .,Db F Ab,Cm Fm,Db+,Adim
Theoretical - No Known Name,,1 3 4 4# 5 6 7b .,100011110110,7,3.5238,C E F F# G A Bb .,(2L) (s) (L-s) (s) (L) (s) (L),8-58-3 .,C F,Am,,Edim
Theoretical - No Known Name,,1 3b 4 5 6b 7b 7 .,100101011011,7,3.5238,C Eb F G Ab Bb B .,(L+s) (L) (L) (s) (L) (L-s) (s),9-789-5 .,Eb Ab,Cm Fm,Eb+,
Theoretical - No Known Name,,1 2 4# 5 5# 6 7 .,101000111101,7,3.5238,C D F# G G# A B .,(L) (2L) (s) (L-s) (s) (L) (s),8-58-1 .,D G,Bm,,G#dim
Theoretical - No Known Name,,1 2 4 5 6b 7b 7 .,101001011011,7,3.5238,C D F G Ab Bb B .,(L) (L+s) (L) (s) (L) (L-s) (s),9-289-5 .,G Bb,Fm Gm,,Ddim Bdim
Theoretical - No Known Name,,1 2 4 5 6b 6 7 .,101001011101,7,3.5238,C D F G Ab A B .,(L) (L+s) (L) (s) (L-s) (L) (s),9-239-5 .,F G,Dm Fm,,Ddim Bdim
Theoretical - No Known Name,,1 2 3 4 6b 6 7b .,101011001110,7,3.5238,C D E F Ab A Bb .,(L) (L) (s) (L+s) (L-s) (s) (L),8-26-5 .,F Bb,Dm Fm Am,Ab+,Ddim
Theoretical - No Known Name,,1 2 3b 4 4# 5 6 .,101101110100,7,3.5238,C D Eb F F# G A .,(L) (s) (L) (L-s) (s) (L) (L+s),9-289-4 .,D F,Cm Dm,,Adim
Theoretical - No Known Name,,1 2 3b 3 4# 5 6 .,101110110100,7,3.5238,C D Eb E F# G A .,(L) (s) (L-s) (L) (s) (L) (L+s),9-239-4 .,C D,Cm Am,,Adim
Theoretical - No Known Name,,1 2 3b 3 4 6 7 .,101111000101,7,3.5238,C D Eb E F A B .,(L) (s) (L-s) (s) (2L) (L) (s),8-25-4 .,F,Dm Am,,Adim Bdim
Theoretical - No Known Name,,1 2b 4 5 6b 7b 8b .,110001011011,7,3.5238,C Db F G Ab Bb Cb .,(s) (2L) (L) (s) (L) (s) (L-s),8-25-8 .,Db,Fm Bbm,,Fdim Gdim
Theoretical - No Known Name,,1 2b 3b 5 6b 6 7b .,110100011110,7,3.5238,C Db Eb G Ab A Bb .,(s) (L) (2L) (s) (L-s) (s) (L),8-58-6 .,Eb Ab,Cm,,Gdim Adim
Theoretical - No Known Name,,1 2b 3b 4b 5b 7b 8b .,110110100011,7,3.5238,C Db Eb Fb Gb Bb Cb .,(s) (L) (s) (L) (2L) (L-s) (s),8-58-9 .,Gb Cb,Ebm,Cb+,Cdim Bbdim
Theoretical - No Known Name,,1 2b 3b 4b 4 5b 7b .,110111100010,7,3.5238,C Db Eb Fb F Gb Bb .,(s) (L) (s) (L-s) (s) (2L) (L),8-25-9 .,Gb,Ebm Bbm,,Cdim Bbdim
Theoretical - No Known Name,,1 1# 2 4# 5# 6 7 .,111000101101,7,3.5238,C C# D F# G# A B .,(L-s) (s) (2L) (L) (s) (L) (s),8-25-1 .,D,F#m Bm,,F#dim G#dim
Theoretical - No Known Name,,1 1# 2 3 5 6 7b .,111010010110,7,3.5238,C C# D E G A Bb .,(L-s) (s) (L) (L+s) (L) (s) (L),9-289-3 .,C A,Gm Am,,C#dim Edim
Theoretical - No Known Name,,1 1# 2 3 4 5 7 .,111011010001,7,3.5238,C C# D E F G B .,(L-s) (s) (L) (s) (L) (2L) (s),8-58-2 .,C G,Em,,C#dim Bdim
